EDM Type,Display Name,Instance,Description,EDMPicLoc,Category,SubCategory,Visible,Material Cost,Installation Cost,Fixed O&M,Variable O&M,Salvage Cost,Units,Expected Life,Physical Space Requirement,Data source for costs,Replacement Reference,Country,City,State,AirportCode,WMO,ZipCode,lat (deg),lon (deg),elevation (ft),Overhang Ratio,Offset Ratio,Chosen for CBECS mappings,Population (2004),Weather File,Regions 1-4,Division 1-9,HDD65 (90.1-2001),CDD50(90.1-2001),CDD65(NREL),Cool 1% Design Wet bulb,Heating Design Temperature,No Econ hours,Cost Factors Means2005,UtilityKey,NumberOfClimates,,,,
TLocation,USA CA-CEC Climate Zone 1,USA_CA_CEC_CLIMATE_ZONE_1,"Eureka, Humboldt",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 1,CA,,725945,-9999,40.78,-124.18,43,-9999,-9999,FALSE,-9999,CA-T24/CZ01RV2.epw,-9999,-9999,3933,1597,0,61.18,30.4,-9999,1,CEC_CZ01_CommRatesNetMeter,4,CEC_2008_1,ASHRAE_2007_4B,NREL_2009_4B,ASHRAE_2004_4B
TLocation,USA CA-CEC Climate Zone 2,USA_CA_CEC_CLIMATE_ZONE_2,"Santa Rosa, Sonoma",,,,FALSE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 2,CA,,-9999,-9999,38.4,122.68,165,-9999,-9999,FALSE,-9999,CA-T24/CZ02RV2.epw,-9999,-9999,1707,1715,268,-9999,-9999,-9999,1,CEC_CZ02_CommRatesNetMeter,4,CEC_2008_2,ASHRAE_2007_3C,NREL_2009_3C,ASHRAE_2004_3C
TLocation,USA CA-CEC Climate Zone 3,USA_CA_CEC_CLIMATE_ZONE_3,"Oakland, Alameda",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 3,CA,,724930,-9999,37.7,-122.18,7,-9999,-9999,FALSE,-9999,CA-T24/CZ03RV2.epw,-9999,-9999,2588,2799,50,66.22,37.78,1905,1,CEC_CZ03_CommRatesNetMeter,4,CEC_2008_3,ASHRAE_2007_3C,NREL_2009_3C,ASHRAE_2004_3C
TLocation,USA CA-CEC Climate Zone 4,USA_CA_CEC_CLIMATE_ZONE_4,"San Francisco, San Francisco",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 4,CA,,724945,-9999,37.4,-122.4,98,-9999,-9999,FALSE,-9999,CA-T24/CZ04RV2.epw,-9999,-9999,2367,3382,351,68.38,35.8,1796,1,CEC_CZ04_CommRatesNetMeter,4,CEC_2008_4,ASHRAE_2007_3C,NREL_2009_3C,ASHRAE_2004_3C
TLocation,USA CA-CEC Climate Zone 5,USA_CA_CEC_CLIMATE_ZONE_5,"Santa Maria, Santa Barbara",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 5,CA,,723940,-9999,34.9,-120.4,236,-9999,-9999,FALSE,-9999,CA-T24/CZ05RV2.epw,-9999,-9999,2504,2855,49,67.66,32.38,2016,1,CEC_CZ05_CommRatesNetMeter,4,CEC_2008_5,ASHRAE_2007_3C,NREL_2009_3C,ASHRAE_2004_3C
TLocation,USA CA-CEC Climate Zone 6,USA_CA_CEC_CLIMATE_ZONE_6,"Santa Monico, W. Los Angeles",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 6,CA,,722970,-9999,33.9,-118.5,98,-9999,-9999,FALSE,-9999,CA-T24/CZ06RV2.epw,-9999,-9999,1521,4127,389,71.08,41.02,-9999,1,CEC_CZ06_CommRatesNetMeter,4,CEC_2008_6,ASHRAE_2007_3B,NREL_2009_3B-Coast,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 7,USA_CA_CEC_CLIMATE_ZONE_7,"San Diego, San Diego",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 7,CA,,722900,-9999,32.7,-117.18,13,-9999,-9999,FALSE,-9999,CA-T24/CZ07RV2.epw,-9999,-9999,1292,4511,547,71.44,44.98,1911,1,CEC_CZ07_CommRatesNetMeter,4,CEC_2008_7,ASHRAE_2007_3B,NREL_2009_3B-Coast,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 8,USA_CA_CEC_CLIMATE_ZONE_8,"Laguna Hills, S. Orange",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 8,CA,,690140,-9999,33.58,-117.68,384,-9999,-9999,FALSE,-9999,CA-T24/CZ08RV2.epw,-9999,-9999,1424,4660,808,70.54,42.82,-9999,1,CEC_CZ08_CommRatesNetMeter,4,CEC_2008_8,ASHRAE_2007_3B,NREL_2009_3B-Coast,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 9,USA_CA_CEC_CLIMATE_ZONE_9,"Pasadena, Los Angeles",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 9,CA,,722880,-9999,34.15,-118.15,863,-9999,-9999,FALSE,-9999,CA-T24/CZ09RV2.epw,-9999,-9999,1361,4936,1035,72.16,39.22,-9999,1,CEC_CZ09_CommRatesNetMeter,4,CEC_2008_9,ASHRAE_2007_3B,NREL_2009_3B-Coast,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 10,USA_CA_CEC_CLIMATE_ZONE_10,"Arnold Heights, Riverside",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 10,CA,,722860,-9999,33.87,-117.27,1539,-9999,-9999,FALSE,-9999,CA-T24/CZ10RV2.epw,-9999,-9999,1674,5022,1363,71.08,34.36,-9999,1,CEC_CZ10_CommRatesNetMeter,4,CEC_2008_10,ASHRAE_2007_3B,NREL_2009_3B-Coast,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 11,USA_CA_CEC_CLIMATE_ZONE_11,"Red Bluff, Tehama",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 11,CA,,725910,-9999,40.2,-122.18,341,-9999,-9999,FALSE,-9999,CA-T24/CZ11RV2.epw,-9999,-9999,2709,4403,1408,71.26,30.04,-9999,1,CEC_CZ11_CommRatesNetMeter,4,CEC_2008_11,ASHRAE_2007_3B,NREL_2009_3B-Coast,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 12,USA_CA_CEC_CLIMATE_ZONE_12,"Sacramento, Sacramento",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 12,CA,,724830,-9999,38.5,-121.5,16,-9999,-9999,FALSE,-9999,CA-T24/CZ12RV2.epw,-9999,-9999,2675,3811,871,70.54,31.3,990,1,CEC_CZ12_CommRatesNetMeter,4,CEC_2008_12,ASHRAE_2007_3B,NREL_2009_3B,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 13,USA_CA_CEC_CLIMATE_ZONE_13,"Clovis, Fresno",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 13,CA,,723890,-9999,36.78,-119.68,328,-9999,-9999,FALSE,-9999,CA-T24/CZ13RV2.epw,-9999,-9999,2237,5337,2029,72.16,30.94,-9999,1,CEC_CZ13_CommRatesNetMeter,4,CEC_2008_13,ASHRAE_2007_3B,NREL_2009_3B,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 14,USA_CA_CEC_CLIMATE_ZONE_14,"Ridgecrest, Kern",,,,FALSE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 14,CA,,-9999,-9999,35.7,117.7,2306.7,-9999,-9999,FALSE,-9999,CA-T24/CZ14RV2.epw,-9999,-9999,1655,2672,1032,-9999,-9999,-9999,1,CEC_CZ14_CommRatesNetMeter,4,CEC_2008_14,ASHRAE_2007_3B,NREL_2009_3B,ASHRAE_2004_3B
TLocation,USA CA-CEC Climate Zone 15,USA_CA_CEC_CLIMATE_ZONE_15,"El Centro, Imperial",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 15,CA,,747185,-9999,32.78,-115.58,-30,-9999,-9999,FALSE,-9999,CA-T24/CZ15RV2.epw,-9999,-9999,875,8550,4156,79.72,35.8,-9999,1,CEC_CZ15_CommRatesNetMeter,4,CEC_2008_15,ASHRAE_2007_2B,NREL_2009_2B,ASHRAE_2004_2B
TLocation,USA CA-CEC Climate Zone 16,USA_CA_CEC_CLIMATE_ZONE_16,"Mount Shasta, Siskiyou",,,,TRUE,0,0,0,0,0,$,0,0,,,USA,CEC Climate Zone 16,CA,,725957,-9999,41.28,-122.3,3543,-9999,-9999,FALSE,-9999,CA-T24/CZ16RV2.epw,-9999,-9999,5414,2023,292,64.42,17.62,-9999,1,CEC_CZ16_CommRatesNetMeter,4,CEC_2008_16,ASHRAE_2007_5B,NREL_2009_5B,ASHRAE_2004_5B
